1	         .	 0	         0	    0     0     0     0 1627783326 2088135315 228201072 
2	         .	21	      1700	  600   433   558   723   927   290   189 
3	         .	21	      1100	 1200  1500  1700  1320  1560  1970  1809 
4	         .	22	      1200	 1981  1732  1745  2254  1433  1459  1799 
5	         .	21	      1000	 1222  1346  1789  2344  1167  1234  1324 
6	         .	21	      1600	 1834  2948  2234  2876  3987  2645  2742 
7	         .	21	      1100	 1323  1569  1199  1300  1480  1345  1678 
8	         .	20	      1200	 1290  1290  1600  1352  2110  1400  1709 
9	         .	22	      1300	 2422  2346   789  2344  2167  2234  2324 
10	         .	23	      1200	 2234  2748  1334  1676  1987  1645  2142 
2139	       dff	14	     50000	200000  6565 67678  8000   678  6690  5670 
